journal_id,signal_date,logged_at,account,sid,name,template,tier,action,ref_close,limit_price,stop_loss,take_profit,position_pct_max,market_regime,in_position,real_entry,real_shares,reason,status,validated_at,fill_date,fill_price,bars_to_fill,exit_date,exit_price,exit_reason,realized_return,hold_days
2026-06-01_1326_Takeshi_SELL,2026-06-01,2026-06-01T21:57:41,Takeshi,1326,台化,low_vol_pullback,B,SELL,53.8,,,,0.3,BULL,True,48.14,50,,pending,,,,,,,,,
2026-06-01_3189_Takeshi_BUY,2026-06-01,2026-06-01T21:57:41,Takeshi,3189,景碩,chip_momentum,B,BUY,774.0,,,,0.3,BULL,True,704.5,2,,pending,,,,,,,,,
2026-06-01_6213_Takeshi_SELL,2026-06-01,2026-06-01T21:57:41,Takeshi,6213,聯茂,low_vol_pullback,C,SELL,295.0,,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_3189_universe_BUY,2026-06-01,2026-06-01T22:00:43,universe,3189,景碩,chip_momentum,B,BUY,774.0,,,,0.3,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_1326_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,1326,台化,low_vol_pullback,B,SELL,53.8,,,,0.3,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_2618_universe_BUY,2026-06-01,2026-06-01T22:00:44,universe,2618,長榮航,keltner_breakout,C,BUY,37.7,37.5361481753067,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_3081_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,3081,聯亞光電,gap_continuation,B,SELL,2685.0,,,,0.3,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_6213_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,6213,聯茂,low_vol_pullback,C,SELL,295.0,,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_4147_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,4147,中裕,ensemble_dip_vote,A,SELL,53.2,,,,0.5,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_2880_universe_BUY,2026-06-01,2026-06-01T22:00:44,universe,2880,華南金,ensemble_dual_momentum,C,BUY,32.85,32.85,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_2855_universe_BUY,2026-06-01,2026-06-01T22:00:44,universe,2855,統一證,ensemble_dual_momentum,C,BUY,48.2,48.2,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_6510_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,6510,精測,low_vol_pullback,A,SELL,3290.0,,,,0.5,BULL,False,,0,,pending,,,,,,,,,
2026-06-01_6443_universe_BUY,2026-06-01,2026-06-01T22:00:44,universe,6443,元晶,chip_momentum,C,BUY,42.1,,,,0.15,BULL,False,,0,,pending,,,,,,,,,
