journal_id,signal_date,logged_at,account,sid,name,template,tier,action,ref_close,limit_price,stop_loss,take_profit,position_pct_max,market_regime,in_position,real_entry,real_shares,reason,status,validated_at,fill_date,fill_price,bars_to_fill,exit_date,exit_price,exit_reason,realized_return,hold_days
2026-06-01_1326_Takeshi_SELL,2026-06-01,2026-06-01T21:57:41,Takeshi,1326,台化,low_vol_pullback,B,SELL,53.8,,,,0.3,BULL,True,48.14,50,,filled,2026-06-02T21:38:20,2026-06-02,54.0,1.0,,,,,
2026-06-01_3189_Takeshi_BUY,2026-06-01,2026-06-01T21:57:41,Takeshi,3189,景碩,chip_momentum,B,BUY,774.0,,,,0.3,BULL,True,704.5,2,,filled,2026-06-02T21:38:20,2026-06-02,778.0,1.0,,,,,
2026-06-01_6213_Takeshi_SELL,2026-06-01,2026-06-01T21:57:41,Takeshi,6213,聯茂,low_vol_pullback,C,SELL,295.0,,,,0.15,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,293.0,1.0,,,,,
2026-06-01_3189_universe_BUY,2026-06-01,2026-06-01T22:00:43,universe,3189,景碩,chip_momentum,B,BUY,774.0,,,,0.3,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,778.0,1.0,,,,,
2026-06-01_1326_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,1326,台化,low_vol_pullback,B,SELL,53.8,,,,0.3,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,54.0,1.0,,,,,
2026-06-01_2618_universe_BUY,2026-06-01,2026-06-01T22:00:44,universe,2618,長榮航,keltner_breakout,C,BUY,37.7,37.5361481753067,,,0.15,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,37.4,1.0,,,,,
2026-06-01_3081_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,3081,聯亞光電,gap_continuation,B,SELL,2685.0,,,,0.3,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,2795.0,1.0,,,,,
2026-06-01_6213_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,6213,聯茂,low_vol_pullback,C,SELL,295.0,,,,0.15,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,293.0,1.0,,,,,
2026-06-01_4147_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,4147,中裕,ensemble_dip_vote,A,SELL,53.2,,,,0.5,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,52.9,1.0,,,,,
2026-06-01_2880_universe_BUY,2026-06-01,2026-06-01T22:00:44,universe,2880,華南金,ensemble_dual_momentum,C,BUY,32.85,32.85,,,0.15,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,32.5,1.0,,,,,
2026-06-01_2855_universe_BUY,2026-06-01,2026-06-01T22:00:44,universe,2855,統一證,ensemble_dual_momentum,C,BUY,48.2,48.2,,,0.15,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,48.2,1.0,,,,,
2026-06-01_6510_universe_SELL,2026-06-01,2026-06-01T22:00:44,universe,6510,精測,low_vol_pullback,A,SELL,3290.0,,,,0.5,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,3365.0,1.0,,,,,
2026-06-01_6443_universe_BUY,2026-06-01,2026-06-01T22:00:44,universe,6443,元晶,chip_momentum,C,BUY,42.1,,,,0.15,BULL,False,,0,,filled,2026-06-02T21:38:20,2026-06-02,42.65,1.0,,,,,
2026-06-02_3189_Takeshi_SELL,2026-06-02,2026-06-02T21:38:34,Takeshi,3189,景碩,chip_momentum,B,SELL,743.0,,,,0.3,BULL,True,704.5,2,,filled,2026-06-04T04:04:28,2026-06-03,740.0,1.0,,,,,
2026-06-02_2344_Takeshi_SELL,2026-06-02,2026-06-02T21:38:34,Takeshi,2344,華邦電,narrow_range_breakout,B,SELL,184.5,,,,0.3,BULL,True,147.70835833333334,12,,filled,2026-06-04T04:04:28,2026-06-03,188.0,1.0,,,,,
2026-06-02_2344_Katie_SELL,2026-06-02,2026-06-02T21:38:40,Katie,2344,華邦電,narrow_range_breakout,B,SELL,184.5,,,,0.3,BULL,False,,0,,filled,2026-06-04T04:04:28,2026-06-03,188.0,1.0,,,,,
2026-06-02_6515_universe_SELL,2026-06-02,2026-06-02T21:41:42,universe,6515,穎崴,gap_continuation,B,SELL,8080.0,,,,0.3,BULL,False,,0,,filled,2026-06-04T04:04:28,2026-06-03,8290.0,1.0,,,,,
2026-06-02_2344_universe_SELL,2026-06-02,2026-06-02T21:41:42,universe,2344,華邦電,narrow_range_breakout,B,SELL,184.5,,,,0.3,BULL,False,,0,,filled,2026-06-04T04:04:28,2026-06-03,188.0,1.0,,,,,
2026-06-02_3189_universe_SELL,2026-06-02,2026-06-02T21:41:42,universe,3189,景碩,chip_momentum,B,SELL,743.0,,,,0.3,BULL,False,,0,,filled,2026-06-04T04:04:28,2026-06-03,740.0,1.0,,,,,
2026-06-03_1605_universe_BUY,2026-06-03,2026-06-04T04:07:33,universe,1605,華新,atr_band_breakout,C,BUY,42.7,41.04595804602644,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-06-03_3081_universe_BUY,2026-06-03,2026-06-04T04:07:33,universe,3081,聯亞光電,gap_continuation,B,BUY,2830.0,,,,0.3,BULL,False,,0,,pending,,,,,,,,,
2026-06-03_1503_universe_SELL,2026-06-03,2026-06-04T04:07:33,universe,1503,士電,narrow_range_breakout,C,SELL,244.0,,,,0.15,BULL,False,,0,,pending,,,,,,,,,
