date,open,high,low,close,volume,turnover,transactions,price_change,close_adj
20100203,10.7,10.8,10.6,10.75,8721408,93441127,1752,0.2,6.966916899245639
20100204,10.8,10.8,10.65,10.8,5220803,56086833,1101,0.05,6.999321163893292
20100205,10.5,10.55,10.05,10.05,21527453,218942117,2770,-0.75,6.513257194178482
20100206,10.1,10.15,9.51,9.95,7155530,70720830,1396,-0.1,6.448448664883172
20100208,9.9,10.1,9.86,10.05,6282884,62772519,1964,0.1,6.513257194178482
20100209,10.05,10.45,10.0,10.45,8991959,92084619,1409,0.4,6.7724913113597145
20100210,10.5,10.65,10.45,10.6,9823637,103547529,1683,0.15,6.8697041053026755
20100222,10.9,10.9,10.7,10.75,8863465,95688263,2032,0.15,6.966916899245639
20100223,10.75,10.8,10.55,10.8,7138704,76166402,1907,0.05,6.999321163893292
20100224,10.7,10.75,10.6,10.6,5089761,54227985,1374,-0.2,6.8697041053026755
20100225,10.65,10.75,10.4,10.5,9037243,95467373,1848,-0.1,6.804895576007367
20100226,10.5,10.65,10.5,10.5,4930782,51999215,1103,0.0,6.804895576007367
20100301,10.65,11.2,10.65,11.2,21503580,237058379,3291,0.7,7.2585552810745275
20100302,11.5,11.5,11.15,11.2,16607242,187983586,3142,0.0,7.2585552810745275
20100303,11.3,11.3,11.05,11.1,7793023,87012289,1448,-0.1,7.193746751779217
20100304,11.3,11.3,11.0,11.3,13493926,151538698,2222,0.2,7.323363810369836
20100305,11.5,11.5,11.2,11.25,11534782,130480148,1782,-0.05,7.290959545722181
20100308,11.35,11.5,11.3,11.4,8484610,96693805,1496,0.15,7.388172339665143
20100309,11.4,11.4,11.2,11.3,6676285,75563345,1245,-0.1,7.323363810369836
20100310,11.4,11.45,11.3,11.45,6491087,73970181,1116,0.15,7.420576604312795
20100311,11.5,11.55,11.25,11.25,7694312,87865030,1470,-0.2,7.290959545722181
20100312,11.35,11.65,11.3,11.65,12912482,148842400,2389,0.4,7.550193662903411
20100315,11.85,12.05,11.7,11.7,29679486,353112792,5140,0.05,7.582597927551068
20100316,11.7,11.8,11.55,11.6,11409563,132789937,2017,-0.1,7.517789398255757
20100317,11.7,11.85,11.65,11.85,11591209,136309941,2222,0.25,7.67981072149403
20100318,11.9,12.25,11.85,12.0,20993169,253539144,3673,0.15,7.777023515436992
20100319,12.0,12.1,11.95,11.95,6862186,82267689,1586,-0.05,7.744619250789339
20100322,11.9,12.25,11.75,12.25,21019103,252610684,3422,0.3,7.939044838675261
20100323,12.4,12.5,12.15,12.15,28093565,346411865,4005,-0.1,7.874236309379954
20100324,12.2,12.35,12.1,12.1,9362629,114326257,1680,-0.05,7.841832044732302
20100325,12.1,12.15,11.9,12.0,8581049,103033661,1818,-0.1,7.777023515436992
20100326,12.0,12.25,11.85,12.1,11144032,134810918,2430,0.1,7.841832044732302
20100329,12.2,12.55,12.1,12.4,18896755,234120755,2754,0.3,8.036257632618225
20100330,12.5,12.55,12.35,12.4,13308390,165624637,1644,0.0,8.036257632618225
20100331,12.5,12.7,12.35,12.5,24748716,310601459,2802,0.1,8.101066161913534
20100401,12.5,12.7,12.5,12.55,18149989,228726340,3175,0.05,8.133470426561189
20100402,12.65,13.1,12.6,12.9,40246304,518839808,5487,0.35,8.360300279094766
20100406,13.0,13.1,12.7,12.75,23653606,304334210,3844,-0.15,8.263087485151802
20100407,12.8,12.95,12.75,12.8,27001749,346629022,3252,0.05,8.29549174979946
20100408,12.8,12.95,12.7,12.75,15848139,203411245,2985,-0.05,8.263087485151802
20100409,12.85,13.15,12.8,12.9,23701711,307997199,3544,0.15,8.360300279094766
20100412,13.0,13.35,12.95,13.15,23571114,311213607,3764,0.25,8.522321602333037
20100413,13.15,13.2,13.05,13.15,16820393,220696993,2844,0.0,8.522321602333037
20100414,13.15,13.5,13.15,13.4,20704537,276794155,3078,0.25,8.684342925571308
20100415,13.6,13.9,13.6,13.85,28837863,397075671,5023,0.45,8.975981307400195
20100416,13.85,13.85,13.6,13.8,13846946,190155342,2552,-0.05,8.943577042752542
20100419,13.65,13.65,12.9,12.95,27134621,359607039,4583,-0.85,8.392704543742422
20100420,13.1,13.1,12.85,13.0,12839701,166896365,2028,0.05,8.425108808390075
20100421,13.35,13.65,13.2,13.55,26456668,357059345,3895,0.55,8.78155571951427
20100422,13.5,13.6,13.25,13.5,17484739,235196394,2900,-0.05,8.749151454866615
20100423,13.45,13.75,13.45,13.5,19808104,269787070,3074,0.0,8.749151454866615
20100426,13.7,14.0,13.6,13.9,20138917,279345709,3507,0.4,9.008385572047848
20100427,13.85,13.9,13.65,13.65,11146306,152621587,1635,-0.25,8.846364248809579
20100428,13.2,13.65,13.15,13.5,15187973,204706225,2452,-0.15,8.749151454866615
20100429,13.6,14.2,13.45,13.95,18990410,262549029,3755,0.45,9.0407898366955
20100430,14.1,14.15,13.75,13.8,18234031,253590503,3212,-0.15,8.943577042752542
20100503,13.95,14.1,13.6,13.7,9114021,125794825,1777,-0.1,8.878768513457231
20100504,13.8,13.9,13.55,13.65,15909499,217882473,2546,-0.05,8.846364248809579
20100505,13.3,13.4,13.05,13.1,21582922,285017368,4319,-0.55,8.489917337685382
20100506,13.1,13.1,12.4,12.4,34228989,436783799,5673,-0.7,8.036257632618225
20100507,12.0,12.4,11.9,12.4,20426528,249105507,3786,0.0,8.036257632618225
20100510,12.45,12.7,12.45,12.6,11096638,139489098,2465,0.2,8.165874691208844
20100511,12.75,13.0,12.7,12.7,14279111,183385085,2625,0.1,8.23068322050415
20100512,12.75,12.85,12.35,12.45,12738835,160131138,2678,-0.25,8.06866189726588
20100513,12.6,12.85,12.55,12.8,9896897,125793015,2006,0.35,8.29549174979946
20100514,12.9,12.9,12.7,12.8,4878704,62359414,1035,0.0,8.29549174979946
20100517,12.6,12.65,12.3,12.35,9819036,121919937,1745,-0.45,8.003853367970569
20100518,12.4,12.45,12.15,12.2,8811228,107874151,1793,-0.15,7.906640574027609
20100519,12.0,12.25,12.0,12.1,10336610,125220138,1982,-0.1,7.841832044732302
20100520,12.1,12.2,11.75,11.75,10975224,131354527,2144,-0.35,7.615002192198721
20100521,11.3,11.3,10.95,10.95,25651126,283340236,4458,-0.8,7.096533957836255
20100524,11.15,11.35,11.05,11.3,9232036,103466797,1758,0.35,7.323363810369836
20100525,11.15,11.15,10.55,10.8,17219187,186198402,2936,-0.5,6.999321163893292
20100526,11.0,11.2,10.9,11.2,12362780,136424285,2504,0.4,7.2585552810745275
20100527,11.05,11.55,11.05,11.5,8956567,101573917,1565,0.3,7.452980868960451
20100528,11.7,11.75,11.45,11.5,11049835,128097302,1623,0.0,7.452980868960451
20100531,11.45,11.55,11.35,11.5,4496604,51606054,782,0.0,7.452980868960451
20100601,11.5,11.55,11.3,11.35,5284802,60266103,1056,-0.15,7.3557680750174885
20100602,11.3,11.4,11.05,11.1,8629945,96777695,1299,-0.25,7.193746751779217
20100603,11.3,11.65,11.3,11.6,11846082,135966481,1792,0.5,7.517789398255757
20100604,11.6,11.6,11.3,11.35,10174973,115839181,2069,-0.25,7.3557680750174885
20100607,11.0,11.1,10.85,11.0,12078135,132632068,1706,-0.35,7.128938222483909
20100608,11.0,11.15,11.0,11.05,7287576,80563336,1066,0.05,7.161342487131563
20100609,11.05,11.05,10.7,10.7,8840663,96086839,1827,-0.35,6.9345126345979855
20100610,10.95,11.1,10.85,11.05,5035396,55277656,975,0.35,7.161342487131563
20100611,11.2,11.45,11.2,11.4,10884464,123656933,1758,0.35,7.388172339665143
20100614,11.5,11.5,11.35,11.45,5752055,65843262,1296,0.05,7.420576604312795
20100615,11.5,11.7,11.4,11.65,8331389,96552252,1937,0.2,7.550193662903411
20100617,11.75,11.85,11.7,11.75,8840297,104201895,1862,0.1,7.615002192198721
20100618,11.75,11.8,11.6,11.65,4718117,55174394,822,-0.1,7.550193662903411
20100621,11.85,12.3,11.85,12.25,14301361,173367011,3195,0.6,7.939044838675261
20100622,12.3,12.35,12.15,12.2,5004937,61322416,1066,-0.05,7.906640574027609
20100623,12.1,12.35,12.05,12.3,5900950,72007129,1099,0.1,7.971449103322917
20100624,12.3,12.45,12.2,12.25,7454562,91821091,1366,-0.05,7.939044838675261
20100625,12.1,12.15,11.9,11.9,7904842,95086110,1482,-0.35,7.712214986141686
20100628,12.0,12.3,12.0,12.15,5286469,64168859,946,0.25,7.874236309379954
20100629,12.25,12.35,11.9,11.9,7425897,89793270,1556,-0.25,7.712214986141686
20100630,11.6,11.95,11.5,11.95,9474711,111089505,1755,0.05,7.744619250789339
20100701,11.95,12.0,11.8,11.8,14661731,168994189,1666,-0.15,7.647406456846376
20100702,11.95,12.05,11.8,11.85,6744768,80374353,1185,0.05,7.67981072149403
20100705,11.9,12.1,11.85,12.05,5566074,66552988,1105,0.2,7.809427780084645
20100706,11.9,12.85,11.9,12.85,28801214,365560600,3884,0.8,8.327896014447113
20100707,13.0,13.35,12.85,13.0,26809953,350724817,4530,0.15,8.425108808390075
20100708,13.1,13.7,12.95,13.45,36274039,485655946,6553,0.45,8.716747190218962
20100709,13.45,13.55,13.3,13.4,19701522,264368091,3119,-0.05,8.684342925571308
20100712,13.45,13.55,13.3,13.3,14661586,196216243,2297,-0.1,8.619534396276
20100713,13.35,13.45,13.25,13.4,15454576,206019992,2290,0.1,8.684342925571308
20100714,13.6,13.75,13.4,13.45,13732579,186641391,2645,0.05,8.716747190218962
20100715,13.45,13.5,13.3,13.45,11865529,159162267,2479,0.0,8.716747190218962
20100716,13.45,13.8,13.35,13.5,16375184,222318937,2992,0.05,8.749151454866615
20100719,13.35,13.6,13.3,13.35,12912278,173117979,2476,-0.15,8.651938660923655
20100720,13.4,13.55,13.35,13.45,12302262,165603779,2096,0.1,8.716747190218962
20100721,13.55,13.65,13.4,13.4,16816962,227333324,2965,-0.05,8.684342925571308
20100722,13.4,13.5,13.35,13.35,10772458,144459227,1795,-0.05,8.651938660923655
20100723,13.45,13.6,13.35,13.4,12770066,171959049,2535,0.05,8.684342925571308
20100726,13.5,13.6,13.35,13.55,14391952,194170179,2314,0.15,8.78155571951427
20100727,13.4,13.5,13.2,13.2,15709408,209228019,2627,-0.35,8.554725866980693
20100728,13.2,13.8,13.1,13.8,36589608,496925005,5732,0.6,8.943577042752542
20100729,13.9,14.1,13.75,13.85,28057973,391413196,4605,0.05,8.975981307400195
20100730,13.85,14.4,13.85,14.05,29518927,417925144,4693,0.2,9.105598365990813
20100802,14.2,14.75,14.2,14.7,39056061,567752937,5884,0.65,9.526853806410315
20100803,14.9,15.2,14.8,15.0,30404565,456976872,4993,0.3,9.72127939429624
20100804,15.1,15.25,14.8,14.95,25964522,389022927,4008,-0.05,9.688875129648585
20100805,14.95,15.0,14.75,14.8,18966950,281222833,3117,-0.15,9.591662335705625
20100806,14.8,15.15,14.75,15.1,17956092,269005230,3307,0.3,9.786087923591548
20100809,15.1,15.2,14.9,15.1,15300745,230097925,2800,0.0,9.786087923591548
20100810,15.1,15.35,14.95,15.1,22889904,346784210,3466,0.0,9.786087923591548
20100811,15.0,15.05,14.85,14.9,21922473,327362496,3332,-0.2,9.65647086500093
20100812,14.7,15.05,14.7,14.8,24112187,357526145,3672,-0.1,9.591662335705625
20100813,14.9,15.8,14.8,15.8,47719404,740179980,7026,1.0,10.239747628658707
20100816,15.6,16.15,15.6,15.9,30385314,482386978,5269,0.1,10.304556157954016
20100817,15.9,16.1,15.65,15.7,48708410,773005426,6500,-0.2,10.174939099363396
20100818,15.7,15.8,15.45,15.45,41812368,650569792,6495,-0.25,10.012917776125127
20100819,15.5,15.6,15.25,15.35,22924268,353166321,3625,-0.1,9.94810924682982
20100820,15.3,15.65,15.25,15.5,23260861,360781732,3251,0.15,10.045322040772781
20100823,15.8,16.55,15.8,16.25,71924616,1169963632,9613,0.75,10.531386010487592
20100824,16.35,16.45,16.1,16.25,26028122,423593044,5246,0.0,10.531386010487592
20100825,16.25,16.3,15.85,15.85,36615452,587228773,6969,-0.4,10.27215189330636
20100826,16.0,16.0,15.5,15.5,23360883,365748419,4332,-0.35,10.045322040772781
20100827,15.5,15.8,15.5,15.75,12462572,195542977,2573,0.25,10.207343364011054
20100830,16.05,16.05,15.7,15.8,13322729,211306628,2454,0.05,10.239747628658707
20100831,15.7,15.75,15.1,15.1,22103889,338909007,4122,-0.7,9.786087923591548
20100901,15.15,15.6,15.15,15.45,12170874,187748890,1932,0.35,10.012917776125127
20100902,15.65,15.65,15.25,15.35,14618960,225224716,2508,-0.1,9.94810924682982
20100903,15.4,15.55,15.35,15.45,10817625,167232669,2113,0.1,10.012917776125127
20100906,15.5,16.25,15.5,16.05,24041804,383669687,4608,0.6,10.401768951896976
20100907,16.05,16.35,15.9,16.05,20820909,335494708,3865,0.0,10.401768951896976
20100908,15.95,16.2,15.85,16.05,22569887,361821742,3913,0.0,10.401768951896976
20100909,16.25,16.25,15.95,15.95,17334358,278750311,3397,-0.1,10.336960422601665
20100910,16.15,16.15,15.85,15.95,9899829,157983905,1997,0.0,10.336960422601665
20100913,16.05,16.4,16.05,16.4,23221523,377234619,3776,0.45,10.628598804430554
20100914,16.45,16.5,16.2,16.2,15021131,245678126,2850,-0.2,10.498981745839938
20100915,16.3,16.4,16.2,16.3,11412779,185825885,2612,0.1,10.563790275135249
20100916,16.3,16.4,16.2,16.2,11012032,179562381,2211,-0.1,10.498981745839938
20100917,16.3,16.55,16.2,16.3,15973901,261493450,3023,0.1,10.563790275135249
20100920,16.3,16.35,16.1,16.15,8714099,141092515,1699,-0.15,10.466577481192283
20100921,16.3,16.3,16.0,16.1,10957991,176816906,1908,-0.05,10.43417321654463
20100923,16.3,16.65,16.25,16.5,26165550,432045598,4158,0.4,10.693407333725863
20100924,16.6,17.35,16.55,17.2,46917912,795789521,8429,0.7,11.147067038793022
20100927,17.8,18.3,17.55,18.3,59074457,1063068108,10421,1.1,11.859960861041413
20100928,18.3,18.4,17.95,18.0,27525965,498552470,5399,-0.3,11.66553527315549
20100929,18.0,19.0,18.0,18.7,53558762,996139627,10418,0.7,12.119194978222644
20100930,18.7,19.2,18.6,18.6,43983323,831034890,8194,-0.1,12.054386448927335
20101001,18.7,18.9,18.6,18.65,19396996,363134678,3927,0.05,12.08679071357499
20101004,18.8,19.6,18.7,19.3,51476092,989694107,9454,0.65,12.508046153994497
20101005,19.3,19.4,18.85,18.9,34761530,661323271,7507,-0.4,12.248812036813261
20101006,19.2,19.55,18.95,19.25,42235674,813863521,7737,0.35,12.475641889346843
20101007,19.0,19.2,18.8,18.85,28444183,540078903,6133,-0.4,12.216407772165608
20101008,19.0,19.6,19.0,19.5,51260112,993318485,9972,0.65,12.637663212585107
20101011,19.65,19.9,19.0,19.05,41895080,815020378,8238,-0.45,12.346024830756226
20101012,19.1,19.25,18.65,18.8,23043736,435874109,4804,-0.25,12.184003507517954
20101013,18.95,19.15,18.65,18.75,26145270,492361868,5099,-0.05,12.151599242870299
20101014,18.9,19.15,18.8,18.85,21431588,405897201,4095,0.1,12.216407772165608
20101015,19.05,19.45,18.95,19.1,37277203,716647822,6555,0.25,12.378429095403877
20101018,19.1,19.1,18.8,18.85,22173436,419738796,5468,-0.25,12.216407772165608
20101019,18.8,18.85,18.15,18.35,32011755,589432905,7311,-0.5,11.892365125689066
20101020,18.2,18.45,18.15,18.35,27988091,512290434,5535,0.0,11.892365125689066
20101021,18.35,18.75,18.35,18.4,25623480,474500744,4764,0.05,11.924769390336717
20101022,18.45,18.7,18.35,18.45,20246111,374971189,3800,0.05,11.957173654984377
20101025,18.65,19.3,18.55,19.15,40308296,762253593,6332,0.7,12.410833360051532
20101026,19.15,19.2,18.85,18.9,20801583,395199932,4120,-0.25,12.248812036813261
20101027,19.0,19.1,18.7,18.75,19631229,370569864,4407,-0.15,12.151599242870299
20101028,18.8,19.2,18.75,18.8,33353151,631736904,5490,0.05,12.184003507517954
20101029,18.9,19.1,18.25,18.35,41234101,769354631,7066,-0.45,11.892365125689066
20101101,18.6,18.65,18.25,18.3,27194737,501756473,5951,-0.05,11.859960861041413
20101102,18.3,18.45,17.95,18.0,21139807,384699476,4821,-0.3,11.66553527315549
20101103,18.1,18.1,17.4,17.4,52825956,933623059,11821,-0.6,11.276684097383637
20101104,17.2,17.55,16.95,17.15,105630949,1819242594,16849,-0.25,11.114662774145367
20101105,17.0,18.2,16.9,17.8,254055570,4412441706,31309,0.65,11.535918214564871
20101108,17.8,17.8,17.4,17.45,83074051,1460353906,11444,-0.35,11.309088362031291
20101109,17.45,17.65,17.4,17.45,46313635,811353820,7022,0.0,11.309088362031291
20101110,17.6,18.05,17.6,17.6,82209711,1463139313,10827,0.15,11.406301155974258
20101111,17.75,18.55,17.7,18.3,123360999,2246336191,21599,0.7,11.859960861041413
20101112,18.3,18.5,17.9,17.9,55983229,1015382368,11540,-0.4,11.60072674386018
20101115,17.9,18.1,17.5,17.5,42234638,750073455,7353,-0.4,11.341492626678944
20101116,17.4,17.9,17.35,17.9,50054507,883724349,7041,0.4,11.60072674386018
20101117,17.65,17.65,17.35,17.55,132851049,2275156446,7431,-0.35,11.373896891326602
20101118,17.55,17.6,17.15,17.15,91064845,1566477865,10151,-0.4,11.114662774145367
20101119,17.35,17.45,17.1,17.1,32342482,556924547,5760,-0.05,11.082258509497715
20101122,17.2,17.3,17.05,17.1,24157617,414309550,4611,0.0,11.082258509497715
20101123,17.1,17.35,17.05,17.1,25628570,440260478,4732,0.0,11.082258509497715
20101124,17.0,17.25,17.0,17.2,18988996,325884162,3889,0.1,11.147067038793022
20101125,17.35,17.35,17.15,17.2,17537546,301854234,2998,0.0,11.147067038793022
20101126,17.2,17.35,17.15,17.2,22653368,390622375,3596,0.0,11.147067038793022
20101129,17.4,17.4,17.1,17.1,19351155,332916327,3436,-0.1,11.082258509497715
20101130,17.25,17.85,17.25,17.85,68191450,1199046606,10421,0.75,11.568322479212524
20101201,17.95,18.35,17.7,18.2,66086207,1191686235,11667,0.35,11.795152331746106
20101202,18.4,18.45,18.05,18.05,38196013,691493884,6447,-0.15,11.697939537803139
20101203,18.15,18.2,17.85,17.85,24696701,444154703,4425,-0.2,11.568322479212524
20101206,17.9,18.25,17.9,18.25,26583361,482056814,4695,0.4,11.827556596393762
20101207,18.3,19.2,18.1,18.8,83965649,1575444246,15421,0.55,12.184003507517954
20101208,19.05,19.4,18.95,19.0,103946452,1974724994,16451,0.2,12.31362056610857
20101209,19.2,19.3,19.0,19.05,48584451,927404419,8579,0.05,12.346024830756226
20101210,19.05,19.2,18.75,19.0,45375310,862738821,8101,-0.05,12.31362056610857
20101213,19.05,19.7,19.0,19.45,66036192,1284239483,12074,0.45,12.605258947937457
20101214,19.5,19.65,19.15,19.15,35775058,690935615,6941,-0.3,12.410833360051532
20101215,19.2,19.3,19.05,19.2,28089685,538859392,5054,0.05,12.443237624699185
20101216,19.2,19.3,18.9,18.9,25881975,494070094,5560,-0.3,12.248812036813261
20101217,19.0,19.15,18.75,18.8,35646204,673963443,6087,-0.1,12.184003507517954
20101220,18.8,19.05,18.75,18.8,17810693,336121814,3297,0.0,12.184003507517954
20101221,18.9,19.35,18.85,19.15,27686707,529614669,5044,0.35,12.410833360051532
20101222,19.15,19.25,19.0,19.05,18635068,356150192,3470,-0.1,12.346024830756226
20101223,19.15,19.35,19.0,19.0,22025231,422168176,4141,-0.05,12.31362056610857
20101224,19.0,19.1,18.8,18.8,15908081,301062837,3414,-0.2,12.184003507517954
20101227,19.0,19.15,18.8,18.9,15268314,290039422,3056,0.1,12.248812036813261
20101228,19.0,19.05,18.2,18.4,40864116,760106039,6774,-0.5,11.924769390336717
20101229,18.3,18.35,17.9,18.1,48652951,882856629,7866,-0.3,11.730343802450795
20101230,18.1,18.45,18.0,18.35,34550281,630011262,5995,0.25,11.892365125689066
20101231,18.4,18.8,18.3,18.5,27312369,507402669,4922,0.15,11.98957791963203
20110103,18.65,18.85,18.45,18.55,24625259,459377367,4046,0.05,12.021982184279684
20110104,18.7,18.85,18.6,18.65,19249421,359931247,3502,0.1,12.08679071357499
20110105,18.65,18.7,18.2,18.2,26458750,487518682,4885,-0.45,11.795152331746106
20110106,18.2,18.3,18.0,18.15,22517838,407822836,4142,-0.05,11.762748067098448
20110107,18.2,18.2,17.7,17.7,26530745,474507717,5395,-0.45,11.471109685269562
20110110,17.55,17.8,17.55,17.75,11289510,199560247,2611,0.05,11.503513949917219
20110111,17.75,18.2,17.7,18.2,16076186,290457682,3279,0.45,11.795152331746106
20110112,18.25,18.35,18.0,18.05,10631413,192981334,2498,-0.15,11.697939537803139
20110113,18.25,18.35,18.1,18.1,13434435,244416453,3078,0.05,11.730343802450795
20110114,18.35,18.9,18.2,18.2,45488489,844392587,7895,0.1,11.795152331746106
20110117,18.3,18.3,17.85,17.85,20678209,371961297,4350,-0.35,11.568322479212524
20110118,17.8,18.05,17.8,17.9,7169662,128531272,2001,0.05,11.60072674386018
20110119,17.95,18.0,17.8,17.8,15034168,268638717,3091,-0.1,11.535918214564871
20110120,17.8,17.95,17.8,17.85,7511754,134109646,1647,0.05,11.568322479212524
20110121,17.8,17.85,17.65,17.7,9825151,174220390,2105,-0.15,11.471109685269562
20110124,17.8,17.9,17.65,17.7,7577341,134472056,1648,0.0,11.471109685269562
20110125,17.85,17.9,17.65,17.65,8360518,148079106,1955,-0.05,11.43870542062191
20110126,17.7,18.0,17.65,17.9,11925190,213531243,2617,0.25,11.60072674386018
20110127,17.95,18.0,17.7,17.75,9749825,173662516,2020,-0.15,11.503513949917219
20110128,17.75,17.85,17.55,17.6,14669845,259282642,2587,-0.15,11.406301155974258
20110208,17.85,18.35,17.8,18.1,33037089,599472077,6364,0.5,11.730343802450795
20110209,18.1,18.15,17.75,17.75,19609814,352690709,5188,-0.35,11.503513949917219
20110210,17.7,17.8,17.15,17.15,28355828,493793481,5760,-0.6,11.114662774145367
20110211,17.2,17.2,15.95,16.0,52850179,867495764,9498,-1.15,10.369364687249323
20110214,16.0,16.25,15.6,16.1,27442051,439343899,5439,0.1,10.43417321654463
20110215,16.1,16.2,15.65,15.75,24468858,389215784,5018,-0.35,10.207343364011054
20110216,15.75,16.05,15.7,15.75,24158182,383516794,4963,0.0,10.207343364011054
20110217,15.8,15.9,15.4,15.4,21255181,332604551,4387,-0.35,9.980513511477472
20110218,15.4,16.2,15.4,16.15,38361934,607675300,6824,0.75,10.466577481192283
20110221,16.15,16.15,15.75,15.8,14017997,222443522,3270,-0.35,10.239747628658707
20110222,15.6,15.6,15.2,15.25,22679050,349401493,5180,-0.55,9.88330071753451
20110223,15.05,15.4,15.0,15.2,27484154,417597370,4823,-0.05,9.850896452886854
20110224,15.3,15.45,15.2,15.2,10939164,167116774,3004,0.0,9.850896452886854
20110225,15.45,16.0,15.2,15.75,28069436,438365171,5631,0.55,10.207343364011054
20110301,15.8,15.95,15.65,15.8,12210253,192758219,2630,0.05,10.239747628658707
20110302,15.65,15.85,15.5,15.5,12956427,202439856,3054,-0.3,10.045322040772781
20110303,15.55,15.85,15.55,15.8,16422463,258505274,3299,0.3,10.239747628658707
20110304,16.0,16.0,15.6,15.65,13913484,218922295,2292,-0.15,10.142534834715745
20110307,15.5,16.15,15.4,16.15,20503715,323905840,4338,0.5,10.466577481192283
20110308,15.9,16.05,15.8,15.9,13454514,214399600,3327,-0.25,10.304556157954016
20110309,16.15,16.15,15.8,15.9,8790175,140474056,1849,0.0,10.304556157954016
20110310,15.9,16.15,15.8,15.8,19503547,311753171,3590,-0.1,10.239747628658707
20110311,15.75,15.75,15.3,15.3,21923001,339816551,4493,-0.5,9.915704982182163
20110314,15.1,15.5,14.3,15.0,24910889,373280635,4707,-0.3,9.72127939429624
20110315,14.9,15.15,13.95,14.2,36443896,523176572,5959,-0.8,9.202811159933773
20110316,14.6,14.7,14.3,14.35,16733294,241369959,3454,0.15,9.300023953876735
20110317,14.05,14.45,13.8,14.35,25228231,356825698,4099,0.0,9.300023953876735
20110318,14.55,14.7,14.4,14.7,17174701,250092102,3600,0.35,9.526853806410315
20110321,14.7,15.0,14.65,14.8,17563083,260001767,3072,0.1,9.591662335705625
20110322,14.95,15.25,14.85,15.1,20940354,316134911,3846,0.3,9.786087923591548
20110323,15.2,15.2,14.9,15.1,8750858,131707386,1877,0.0,9.786087923591548
20110324,15.3,15.4,15.1,15.25,12298503,187596751,2454,0.15,9.88330071753451
20110325,15.25,15.4,15.1,15.1,10548913,160473673,2158,-0.15,9.786087923591548
20110328,15.2,15.6,15.1,15.15,17639845,270858591,3025,0.05,9.818492188239205
20110329,15.2,15.5,15.15,15.3,12626308,193660993,2811,0.15,9.915704982182163
20110330,15.4,15.6,15.3,15.3,15821487,243719861,3058,0.0,9.915704982182163
20110331,15.45,15.45,15.1,15.45,10073258,154000404,1884,0.15,10.012917776125127
20110401,15.45,15.6,15.15,15.4,20285795,311554328,2556,-0.05,9.980513511477472
20110406,15.65,15.75,15.55,15.7,14309896,223936430,2951,0.3,10.174939099363396
20110407,15.8,16.0,15.65,15.9,15964676,252614685,3020,0.2,10.304556157954016
20110408,15.95,16.8,15.9,16.7,39573517,651513992,7821,0.8,10.823024392316478
20110411,16.8,16.8,16.45,16.6,16867508,280422728,3391,-0.1,10.758215863021173
20110412,16.45,16.5,16.1,16.1,10056452,163447284,2255,-0.5,10.43417321654463
20110413,16.1,16.2,16.0,16.2,6281491,101273611,2211,0.1,10.498981745839938
20110414,16.3,16.4,16.1,16.25,6845680,111284302,1768,0.05,10.531386010487592
20110415,16.4,16.4,15.85,15.85,11643104,187500665,2572,-0.4,10.27215189330636
20110418,15.9,16.15,15.7,15.7,11035818,175921435,2115,-0.15,10.174939099363396
20110419,15.6,15.9,15.6,15.9,11998435,188712914,2345,0.2,10.304556157954016
20110420,16.0,16.1,15.9,16.1,10953497,175768552,2230,0.2,10.43417321654463
