date,open,high,low,close,volume,turnover,transactions,price_change,close_adj
20250909,109.0,124.5,108.0,117.0,2444202,285246584,2057,X0.00,117.0
20250910,115.0,117.0,110.0,111.5,1092963,122805724,1280,-5.50,111.5
20250911,113.0,116.0,110.0,111.0,582631,65497535,1693,-0.50,111.0
20250912,112.0,112.0,103.0,107.5,818490,86705440,1306,-3.50,107.5
20250915,106.0,106.0,101.0,104.0,553738,57335393,2311,-3.50,104.0
20250916,104.0,107.5,102.5,104.5,301716,31765262,1934,+0.50,104.5
20250917,105.0,111.0,105.0,107.0,496230,53685079,585,+2.50,107.0
20250918,109.0,109.5,100.5,102.0,614046,63476567,733,-5.00,102.0
20250919,102.0,102.0,96.0,96.0,1025881,100261780,1210,-6.00,96.0
20250922,96.0,105.5,88.8,105.5,1223659,117819783,2017,+9.50,105.5
20250923,108.5,109.0,104.0,105.5,853136,91280683,1390, 0.00,105.5
20250924,104.5,106.0,101.0,102.5,423298,43521327,918,-3.00,102.5
20250925,105.0,108.0,103.5,106.0,369552,38971472,648,+3.50,106.0
20250926,104.0,104.0,100.0,100.0,283916,28769428,1007,-6.00,100.0
20250930,103.0,103.0,100.5,101.0,143850,14609417,203,+1.00,101.0
20251001,101.5,103.0,100.0,101.5,158133,16091935,230,+0.50,101.5
20251002,103.0,103.5,98.0,99.0,332441,33316787,744,-2.50,99.0
20251003,99.5,100.0,98.8,99.0,174473,17340583,251, 0.00,99.0
20251007,98.9,99.7,95.0,97.4,388946,37851758,569,-1.60,97.4
20251008,97.5,97.5,95.2,95.8,231277,22177910,377,-1.60,95.8
20251009,96.2,98.7,93.5,97.3,336998,32299999,433,+1.50,97.3
20251013,107.0,107.0,107.0,107.0,712776,76267032,361,+9.70,107.0
20251014,109.5,117.5,109.0,117.5,1986627,226122527,2915,+10.50,117.5
20251015,120.5,122.5,110.5,114.0,1627741,189599878,1655,-3.50,114.0
20251016,109.5,112.0,103.0,106.0,884476,93690163,991,-8.00,106.0
20251017,104.0,109.0,102.5,106.0,348238,36794138,722, 0.00,106.0
20251020,106.0,109.0,103.0,103.5,345285,36382247,601,-2.50,103.5
20251021,103.5,113.5,102.0,113.5,705496,76418436,1237,+10.00,113.5
20251022,110.5,112.0,106.0,110.0,571543,62228994,1623,-3.50,110.0
20251023,108.5,118.0,108.0,116.5,943065,107824679,1118,+6.50,116.5
20251027,124.0,124.0,116.0,116.5,1247634,149143093,1581, 0.00,116.5
20251028,110.5,114.0,109.0,111.0,533191,58942397,748,-5.50,111.0
20251029,110.0,112.0,108.5,108.5,392319,43042296,585,-2.50,108.5
